,ci_test_results,z_test_results,z_test_p_values,t_test_p_values,mean_diff
OPN1SW,False,False,0.23312710669970116,0.23341053042567278,1.2076409618260007
KIF3C,False,False,0.3143676506339681,0.31461151924961184,1.533564087863998
SSH2,False,False,0.4019539129674976,0.4021545954467368,1.8524855720000062
FGA,False,False,0.35926355763834994,0.3594850355100523,1.2157209138013005
PLEKHN1,False,False,0.3487306478353117,0.3489573479250442,1.3241642991359996
B3GAT3,True,True,4.610181359730594e-09,6.258243256497314e-09,6.432914734000001
CACYBP,False,False,0.4209659616076783,0.42115762740777263,8.746382691000008
DISP2,False,False,0.15704453051048126,0.15735647492491178,1.4134809280019998
ZDBF2,False,False,0.2320427008815542,0.23232661869335863,1.7506883047399997
ICA1,False,False,0.6459506561176618,0.6460507028388742,1.1515693040056014
CERS4,False,False,0.07462176031510727,0.07492564985984743,3.919050438000003
NPY,False,False,0.05450037622161447,0.05478470028669016,18.42326033162242
PRKD1,False,False,0.47686233508323617,0.4770285633718383,0.6630101383079987
LPAR2,True,True,0.035718436667980295,0.035968946260445805,6.903599198000002
ANKRD52,False,False,0.35506183569489014,0.355285393409687,1.7415285185999956
SAMD3,True,True,7.911331317925003e-61,5.283477447470936e-54,80.94522743222399
HEATR4,False,False,0.7157462535855961,0.7158233887724862,0.19192520777870037
CLPTM1,False,False,0.13083534673392783,0.13115189333869878,3.2373599319999897
E2F7,False,False,0.6374952465941928,0.6375982286735414,0.45219382499000105
MC5R,False,False,0.4068803677883539,0.407078697685447,0.7771359541402003
SLC9A3R2,False,False,0.6351685415433901,0.635272337778702,2.4144062503600026
TESC,True,True,0.03537025067592994,0.03561991752004865,5.107288949820003
ZFPM1,True,True,1.623540264661913e-09,2.28417238488636e-09,9.734821565139999
CTAGE8,False,False,0.13230206484359036,0.1326184719086955,2.910093048391999
ZNF646,False,False,0.10523309219783035,0.10554900621546551,1.490536096199996
OR10T2,False,False,0.4944051951658308,0.49456379710117904,0.17668830204815003
CAPN11,False,False,0.08529335360794531,0.08560330474272436,3.20148923908012
IYD,False,False,0.9886093498117341,0.9886122032107703,0.011229088867400039
TOP1,True,True,0.0014688168690501651,0.0015141201438173902,5.6903534140000005
CALY,False,False,0.7638242970465525,0.763886874114224,0.24036113356061994
WDR17,True,True,0.0019438565701179384,0.0019982614743138693,2.319919175744
BTRC,False,False,0.27239678490845076,0.27266152305647684,1.1359228686000016
HAUS6,True,True,0.0397829752816129,0.04004262902575915,2.2469746400000012
BDP1,False,False,0.5359763521114327,0.5361175928550103,0.36901908999999833
TIPARP,True,True,7.380796220973677e-18,2.838428970858411e-17,16.693708566800012
H2AFB3,False,False,0.7546329053490641,0.7546981967543365,0.27069396117779965
SHISA6,False,False,0.12738160286544403,0.1276984126906837,1.9085831812006862
CETN1,False,False,0.25650920205383054,0.25678165474566433,1.062840304388496
NKX2-8,False,False,0.9793161127157677,0.9793212957210599,0.008005653060135565
SCGB2A2,False,False,0.19998652267946293,0.2002841928937086,93.0806558461774
NAT1,False,False,0.4309362059765336,0.43112321327499503,1.2068237688399988
RARG,True,True,0.00018932428431729276,0.00020002193633015476,4.163541588000001
TM9SF4,False,False,0.14908322441108945,0.14939699533955578,2.457811781999993
TRMT10B,False,False,0.2817859813891127,0.2820460951663207,1.5286330213999975
STYX,False,False,0.8150539247877804,0.8151018978714536,0.30388745700000186
ANGPT2,False,False,0.546247561652438,0.5463846675343098,1.6464398884320008
ADGRF1,False,False,0.24583183114194596,0.2461093620336743,2.0360627640547433
UVSSA,True,True,2.5364094982523535e-08,3.2616167361449495e-08,3.9282135655999983
